,loc,v(g),ev(g),iv(g),v,l,d,i,e,b,t,lOCode,lOComment,lOBlank,uniq_Op,uniq_Opnd,total_Op,total_Opnd,branchCount,defects,complex_by_line,code_by_cmtblank,lines,Opratio,Opndratio
2962,34.0,5.0,1.0,1.0,370.88,0.07,14.39,25.77,5338.04,0.12,296.56,27.0,0.0,5.0,13.0,14.0,47.0,31.0,7.0,0,0.20588235294117646,5.4,30.5,0.2765957446808511,0.45161290322580644
3349,109.0,14.0,10.0,12.0,2177.98,0.02,41.26,52.79,89865.49,0.73,4992.53,95.0,4.0,6.0,26.0,46.0,207.0,146.0,27.0,0,0.3302752293577982,9.5,102.0,0.12560386473429952,0.3150684931506849
4670,19.0,6.0,1.0,3.0,330.0,0.1,10.26,32.15,3386.84,0.11,188.16,16.0,0.0,1.0,13.0,19.0,36.0,30.0,11.0,0,0.5263157894736842,16.0,17.5,0.3611111111111111,0.6333333333333333
8952,4.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.75,0.0,2.0,0.0,0.0
2065,190.0,39.0,3.0,35.0,4757.62,0.03,30.71,154.91,146112.75,1.59,8117.38,155.0,0.0,33.0,18.0,97.0,364.0,331.0,77.0,1,0.4052631578947368,4.696969696969697,172.5,0.04945054945054945,0.2930513595166163
5621,14.0,2.0,1.0,2.0,191.76,0.13,8.0,23.97,1534.04,0.06,85.22,9.0,0.0,2.0,11.0,11.0,27.0,16.0,3.0,0,0.35714285714285715,4.5,11.5,0.4074074074074074,0.6875
5776,7.0,1.0,1.0,1.0,8.0,0.67,1.5,5.33,12.0,0.0,0.67,2.0,1.0,0.0,3.0,1.0,3.0,1.0,1.0,0,0.42857142857142855,2.0,4.5,1.0,1.0
2613,38.0,4.0,3.0,3.0,542.84,0.11,9.21,58.91,5001.85,0.18,277.88,27.0,2.0,5.0,12.0,28.0,59.0,43.0,7.0,0,0.2631578947368421,3.857142857142857,32.5,0.2033898305084746,0.6511627906976745
9355,19.0,2.0,1.0,2.0,137.61,0.17,6.0,22.93,825.65,0.05,45.87,14.0,0.0,1.0,8.0,10.0,18.0,15.0,3.0,0,0.2631578947368421,14.0,16.5,0.4444444444444444,0.6666666666666666
7385,39.0,5.0,4.0,3.0,586.68,0.06,16.35,35.89,9590.94,0.2,532.83,29.0,2.0,4.0,16.0,23.0,64.0,47.0,9.0,0,0.3076923076923077,4.833333333333333,34.0,0.25,0.48936170212765956
8875,22.0,5.0,3.0,2.0,242.9,0.07,14.17,17.15,3441.07,0.08,191.17,16.0,1.0,3.0,17.0,12.0,30.0,20.0,9.0,0,0.45454545454545453,4.0,19.0,0.5666666666666667,0.6
8822,4.0,1.0,1.0,1.0,19.65,0.5,2.0,9.83,39.3,0.01,2.18,1.0,0.0,0.0,4.0,3.0,4.0,3.0,1.0,0,0.75,0.0,2.5,1.0,1.0
10829,37.0,4.0,1.0,4.0,507.8,0.05,20.65,24.59,10484.56,0.17,582.48,26.0,1.0,7.0,18.0,17.0,60.0,39.0,7.0,0,0.24324324324324326,3.25,31.5,0.3,0.4358974358974359
8900,34.0,3.0,1.0,3.0,723.27,0.08,13.0,55.64,9402.5,0.24,522.36,25.0,0.0,5.0,13.0,28.0,79.0,56.0,5.0,0,0.20588235294117646,5.0,29.5,0.16455696202531644,0.5
8781,6.0,1.0,1.0,1.0,31.7,0.4,2.5,12.68,79.25,0.01,4.4,4.0,0.0,0.0,5.0,4.0,6.0,4.0,1.0,0,0.5,0.0,5.0,0.8333333333333334,1.0
1971,91.0,26.0,1.0,2.0,1447.68,0.04,25.5,56.77,36915.92,0.48,2050.88,85.0,0.0,3.0,34.0,56.0,139.0,84.0,27.0,1,0.31868131868131866,28.333333333333332,88.0,0.2446043165467626,0.6666666666666666
3220,97.0,16.0,7.0,3.0,1230.18,0.02,51.75,23.77,63661.56,0.41,3536.75,62.0,26.0,7.0,23.0,22.0,125.0,99.0,31.0,0,0.26804123711340205,1.878787878787879,79.5,0.184,0.2222222222222222
5867,24.0,2.0,1.0,1.0,216.64,0.1,9.78,22.16,2118.21,0.07,117.68,17.0,2.0,3.0,8.0,9.0,31.0,22.0,3.0,0,0.16666666666666666,3.4,20.5,0.25806451612903225,0.4090909090909091
1741,11.0,1.0,1.0,1.0,112.0,0.12,8.33,13.44,933.33,0.04,51.85,6.0,0.0,3.0,10.0,6.0,18.0,10.0,1.0,1,0.2727272727272727,2.0,8.5,0.5555555555555556,0.6
2831,82.0,10.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0,0.2926829268292683,0.0,41.0,0.0,0.0
2567,16.0,2.0,1.0,2.0,217.13,0.12,8.25,26.32,1791.33,0.07,99.52,10.0,1.0,2.0,11.0,12.0,30.0,18.0,3.0,0,0.3125,3.3333333333333335,13.0,0.36666666666666664,0.6666666666666666
9815,90.0,14.0,1.0,13.0,1312.47,0.02,40.83,32.14,53592.37,0.44,2977.35,76.0,0.0,12.0,21.0,27.0,130.0,105.0,25.0,0,0.3111111111111111,6.333333333333333,83.0,0.16153846153846155,0.2571428571428571
3530,21.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.14285714285714285,0.0,10.5,0.0,0.0
