iter	Logloss
0	0.6733387223
1	0.6554610568
2	0.6377979256
3	0.6220238843
4	0.6079337068
5	0.5946543408
6	0.5826193407
7	0.5712527274
8	0.5610053256
9	0.5513367064
10	0.5429194621
11	0.5345510011
12	0.5269971084
13	0.5199665986
14	0.5133331397
15	0.5069455036
16	0.5019360228
17	0.4972363438
18	0.4928378875
19	0.4885142322
20	0.4850156869
21	0.4812033587
22	0.4773529011
23	0.4739727814
24	0.470861194
25	0.4676112191
26	0.4651458698
27	0.4626666145
28	0.4604517701
29	0.4578460427
30	0.4555172865
31	0.4533661968
32	0.4516249426
33	0.4498781091
34	0.448428405
35	0.4465043537
36	0.4452819404
37	0.4441108616
38	0.4426743626
39	0.4414169599
40	0.4402713101
41	0.439271954
42	0.4382823827
43	0.4371981605
44	0.4360286799
45	0.4350400056
46	0.4339309713
47	0.4329356525
48	0.4322620509
49	0.4313508412
50	0.4302734039
51	0.4295736724
52	0.4288099619
53	0.4281774056
54	0.4275066356
55	0.4265701091
56	0.4259610191
57	0.4255353711
58	0.4250299877
59	0.4245385103
60	0.4236223381
61	0.4230807878
62	0.4224531939
63	0.4218176376
64	0.4213621869
65	0.4204764622
66	0.4197690768
67	0.4189817037
68	0.4186090724
69	0.4181558086
70	0.4178570812
71	0.4173841919
72	0.4169650203
73	0.4163174645
74	0.4158491171
75	0.4156487412
76	0.4152756333
77	0.4146669639
78	0.4143691056
79	0.4142018127
80	0.4137250263
81	0.4134385788
82	0.4132803416
83	0.4128412361
84	0.4121606255
85	0.4118536273
86	0.4116612699
87	0.4113188057
88	0.410934259
89	0.4104711264
90	0.4099222025
91	0.4093822782
92	0.4089940307
93	0.408408996
94	0.407926294
95	0.4077502817
96	0.4073849679
97	0.4069079012
98	0.4064873558
99	0.4060707075
100	0.4054930463
101	0.4051732075
102	0.4049091611
103	0.4045636129
104	0.4037857722
105	0.4033624511
106	0.403060864
107	0.4028824967
108	0.4024313076
109	0.4021173844
110	0.4015990202
111	0.4013276282
112	0.4008765232
113	0.4006509146
114	0.4004501742
115	0.3999443422
116	0.3997757876
117	0.3994581917
118	0.3991742395
119	0.3990266
120	0.3987350219
121	0.3986137926
122	0.3983382513
123	0.3979739468
124	0.3978645209
125	0.3975382057
126	0.397317896
127	0.3967109929
128	0.3963395111
129	0.3962132073
130	0.3959946639
131	0.395643172
132	0.3953214828
133	0.3950859774
134	0.3948453694
135	0.3946011727
136	0.3944182915
137	0.3941984023
138	0.3940735284
139	0.3938649379
140	0.3933578162
141	0.3931130588
142	0.392942093
143	0.3926193104
144	0.392245782
145	0.3918889352
146	0.3913286005
147	0.3911391588
148	0.3909813421
149	0.3906479898
150	0.3904625573
151	0.3902827321
152	0.3900619177
153	0.3897114632
154	0.3894993121
155	0.3890503098
156	0.3886591745
157	0.3880770556
158	0.3878566618
159	0.387393417
160	0.387243843
161	0.3868681277
162	0.3866160528
163	0.3863798184
164	0.3860847357
165	0.3857622615
166	0.3856436958
167	0.3854320212
168	0.3852796717
169	0.3851968242
170	0.3849019939
171	0.3845508104
172	0.384447973
173	0.3842959319
174	0.3841334051
175	0.3839918775
176	0.3837646428
177	0.3835723695
178	0.3830610423
179	0.382880376
180	0.3826173669
181	0.3825018852
182	0.3819887357
183	0.3817652298
184	0.3813410957
185	0.3811764102
186	0.3808587021
187	0.3803386837
188	0.3801027297
189	0.3796230276
190	0.3794352681
191	0.379136036
192	0.3788537099
193	0.3786288863
194	0.3784620699
195	0.3782116492
196	0.3777046677
197	0.3774035011
198	0.3772093773
199	0.3768676141
200	0.3766167728
201	0.3762300392
202	0.3760428405
203	0.3756236688
204	0.3753482957
205	0.3751256029
206	0.3747678589
207	0.3743343888
208	0.3740422779
209	0.3739186937
210	0.3736540304
211	0.3730541925
212	0.372570369
213	0.3723824693
214	0.3721806075
215	0.3715501819
216	0.3713193866
217	0.3711162912
218	0.3708154611
219	0.370533976
220	0.3703162457
221	0.3702246789
222	0.3700402838
223	0.369670372
224	0.3695129759
225	0.3693216558
226	0.3692228276
227	0.3690430024
228	0.368884653
229	0.3686526802
230	0.3682658625
231	0.3681658568
232	0.3679539019
233	0.3677186769
234	0.3672495725
235	0.3671000826
236	0.3669549945
237	0.3666200441
238	0.366337045
239	0.3662975418
240	0.365922191
241	0.3657457021
242	0.365575185
243	0.3652688317
244	0.3651581722
245	0.3648096522
246	0.3644989813
247	0.3643656123
248	0.3641137056
249	0.3636450498
250	0.3632393637
251	0.3628447519
252	0.3626668051
253	0.3622640909
254	0.3620547433
255	0.3618950763
256	0.3617045412
257	0.3613490401
258	0.3612039239
259	0.3610496959
260	0.3608725902
261	0.3604957255
262	0.3604299241
263	0.36002735
264	0.3597115765
265	0.3596578869
266	0.359534639
267	0.3592860126
268	0.3588724202
269	0.3585239563
270	0.3583853726
271	0.3582149676
272	0.3577368355
273	0.3575478704
274	0.3571329883
275	0.356710172
276	0.3564303411
277	0.3559998708
278	0.3556178474
279	0.3554501339
280	0.3551270989
281	0.3547224221
282	0.3543000824
283	0.3541945535
284	0.3540092612
285	0.3537860357
286	0.3533350989
287	0.3528647889
288	0.3523368923
289	0.3518637787
290	0.3516482072
291	0.3511042177
292	0.3508211345
293	0.3505830778
294	0.350354217
295	0.3499958282
296	0.3495356954
297	0.3490234431
298	0.3487051463
299	0.3483491406
300	0.3480091717
301	0.3476853517
302	0.3472620307
303	0.347113382
304	0.3467565071
305	0.3463267658
306	0.346165781
307	0.3459506861
308	0.3456330902
309	0.3453334936
310	0.3450329158
311	0.344846446
312	0.344335231
313	0.3436483402
314	0.343355977
315	0.3429659351
316	0.3428479301
317	0.3424480755
318	0.3420083813
319	0.341970392
320	0.3415710702
321	0.3411844487
322	0.3409339999
323	0.3405923769
324	0.3400763396
325	0.3398173958
326	0.3395485552
327	0.3392033995
328	0.3388955603
329	0.3384742299
330	0.3384006064
331	0.3380715717
332	0.3374828361
333	0.3372142758
334	0.3368925306
335	0.3366308672
336	0.3361922384
337	0.335927491
338	0.335620577
339	0.3352691692
340	0.3349278546
341	0.3345180191
342	0.3344183779
343	0.3341832089
344	0.3338467165
345	0.3336106223
346	0.3332678217
347	0.3329865609
348	0.3327080477
349	0.3321964402
350	0.3319893637
351	0.3318528266
352	0.3315333242
353	0.3311117695
354	0.331018044
355	0.3307023546
356	0.33047983
357	0.330092003
358	0.3297351842
359	0.3297082974
360	0.3293688892
361	0.3291980637
362	0.3287573881
363	0.3285684791
364	0.3280866182
365	0.3278508605
366	0.3274528563
367	0.3270927012
368	0.3267329947
369	0.3265671877
370	0.3261405864
371	0.3256844909
372	0.3254391728
373	0.3248629695
374	0.3247651787
375	0.324561859
376	0.3240505318
377	0.3236570696
378	0.3232042263
379	0.3229903088
380	0.3226026221
381	0.3222126363
382	0.3216848798
383	0.3211462172
384	0.3210420061
385	0.3207114574
386	0.3205837237
387	0.3201637951
388	0.3198041447
389	0.3194178037
390	0.3191805039
391	0.3189745488
392	0.3186599248
393	0.3183183578
394	0.3182587245
395	0.3179735947
396	0.3172615552
397	0.3171448959
398	0.316828057
399	0.3165954954
