iter	Passed	Remaining
0	22	11398
1	44	11076
2	65	10797
3	80	9998
4	96	9551
5	112	9259
6	128	9016
7	143	8805
8	159	8719
9	175	8591
10	191	8510
11	207	8423
12	223	8355
13	238	8275
14	253	8199
15	269	8148
16	284	8092
17	299	8032
18	315	7997
19	331	7955
20	347	7936
21	364	7921
22	380	7892
23	396	7861
24	412	7840
25	429	7830
26	447	7836
27	466	7855
28	483	7856
29	500	7833
30	516	7816
31	533	7799
32	550	7797
33	568	7793
34	585	7780
35	602	7759
36	618	7743
37	635	7726
38	652	7711
39	669	7697
40	685	7677
41	702	7657
42	718	7637
43	735	7625
44	752	7608
45	768	7588
46	785	7569
47	802	7558
48	819	7539
49	835	7521
50	853	7515
51	870	7500
52	888	7495
53	905	7475
54	921	7456
55	939	7446
56	955	7426
57	971	7405
58	987	7383
59	1004	7368
60	1021	7353
61	1037	7332
62	1054	7315
63	1071	7297
64	1088	7284
65	1106	7273
66	1123	7259
67	1139	7240
68	1156	7221
69	1173	7207
70	1191	7199
71	1207	7180
72	1224	7162
73	1241	7146
74	1258	7128
75	1275	7115
76	1292	7102
77	1309	7083
78	1325	7065
79	1343	7051
80	1359	7034
81	1376	7015
82	1392	6995
83	1409	6978
84	1426	6965
85	1443	6947
86	1459	6926
87	1475	6910
88	1492	6894
89	1509	6876
90	1526	6861
91	1543	6844
92	1560	6828
93	1576	6809
94	1592	6790
95	1609	6771
96	1626	6758
97	1643	6740
98	1660	6725
99	1677	6709
100	1693	6690
101	1711	6677
102	1727	6660
103	1744	6642
104	1760	6624
105	1777	6608
106	1795	6595
107	1812	6579
108	1829	6563
109	1848	6552
110	1865	6537
111	1881	6519
112	1898	6501
113	1914	6482
114	1930	6464
115	1946	6444
116	1963	6428
117	1980	6409
118	1996	6392
119	2013	6374
120	2029	6356
121	2045	6337
122	2062	6320
123	2078	6303
124	2095	6285
125	2112	6269
126	2130	6257
127	2148	6243
128	2165	6226
129	2181	6208
130	2197	6190
131	2215	6175
132	2232	6160
133	2249	6143
134	2265	6126
135	2283	6113
136	2301	6097
137	2319	6083
138	2337	6070
139	2355	6057
140	2373	6042
141	2390	6026
142	2407	6010
143	2425	5997
144	2444	5983
145	2461	5968
146	2479	5953
147	2496	5938
148	2513	5922
149	2530	5905
150	2548	5890
151	2565	5873
152	2581	5855
153	2597	5836
154	2614	5819
155	2631	5802
156	2647	5784
157	2665	5769
158	2682	5753
159	2700	5738
160	2716	5720
161	2733	5703
162	2750	5686
163	2767	5670
164	2784	5652
165	2799	5633
166	2817	5618
167	2835	5602
168	2852	5587
169	2870	5571
170	2886	5554
171	2903	5536
172	2919	5518
173	2935	5500
174	2952	5483
175	2970	5468
176	2987	5451
177	3004	5434
178	3021	5418
179	3038	5401
180	3055	5384
181	3072	5369
182	3090	5352
183	3107	5336
184	3124	5319
185	3141	5303
186	3158	5286
187	3175	5269
188	3193	5254
189	3210	5238
190	3227	5221
191	3243	5203
192	3260	5186
193	3277	5169
194	3294	5152
195	3311	5136
196	3329	5120
197	3346	5103
198	3365	5090
199	3383	5074
200	3400	5058
201	3417	5042
202	3435	5025
203	3453	5010
204	3470	4994
205	3488	4978
206	3506	4963
207	3523	4946
208	3540	4930
209	3558	4913
210	3575	4896
211	3592	4880
212	3610	4865
213	3628	4849
214	3647	4835
215	3666	4821
216	3683	4804
217	3701	4787
218	3719	4772
219	3737	4756
220	3755	4740
221	3773	4725
222	3791	4709
223	3810	4694
224	3828	4679
225	3846	4663
226	3864	4647
227	3881	4630
228	3898	4613
229	3916	4597
230	3933	4580
231	3951	4564
232	3968	4548
233	3986	4531
234	4004	4515
235	4021	4499
236	4037	4480
237	4054	4463
238	4071	4445
239	4088	4428
240	4104	4411
241	4121	4394
242	4137	4376
243	4154	4358
244	4172	4342
245	4188	4325
246	4205	4308
247	4221	4290
248	4239	4273
249	4257	4257
250	4274	4240
251	4290	4222
252	4308	4206
253	4325	4189
254	4342	4171
255	4358	4154
256	4375	4137
257	4393	4120
258	4409	4103
259	4427	4086
260	4444	4069
261	4461	4052
262	4478	4035
263	4496	4019
264	4514	4003
265	4532	3986
266	4548	3969
267	4566	3953
268	4585	3937
269	4603	3921
270	4621	3905
271	4639	3888
272	4657	3872
273	4675	3856
274	4692	3839
275	4710	3822
276	4727	3806
277	4745	3789
278	4763	3773
279	4782	3757
280	4799	3740
281	4817	3724
282	4835	3708
283	4853	3691
284	4870	3674
285	4888	3657
286	4906	3641
287	4925	3625
288	4942	3608
289	4961	3592
290	4979	3576
291	4996	3559
292	5015	3543
293	5032	3525
294	5049	3508
295	5065	3491
296	5082	3474
297	5099	3456
298	5115	3439
299	5132	3421
300	5148	3403
301	5166	3387
302	5183	3369
303	5199	3352
304	5251	3357
305	5290	3354
306	5314	3341
307	5331	3323
308	5349	3306
309	5367	3289
310	5384	3272
311	5402	3255
312	5419	3238
313	5437	3221
314	5455	3204
315	5475	3188
316	5492	3170
317	5511	3154
318	5529	3137
319	5546	3120
320	5564	3102
321	5581	3085
322	5600	3069
323	5617	3051
324	5635	3034
325	5652	3016
326	5670	2999
327	5688	2982
328	5706	2965
329	5724	2949
330	5742	2931
331	5760	2915
332	5778	2898
333	5797	2881
334	5816	2864
335	5833	2847
336	5850	2829
337	5868	2812
338	5884	2794
339	5900	2776
340	5917	2759
341	5934	2741
342	5952	2724
343	5969	2707
344	5985	2689
345	6002	2671
346	6020	2654
347	6036	2636
348	6053	2619
349	6070	2601
350	6087	2584
351	6104	2566
352	6121	2549
353	6138	2531
354	6155	2514
355	6172	2496
356	6189	2479
357	6205	2461
358	6222	2443
359	6238	2425
360	6255	2408
361	6271	2390
362	6291	2374
363	6309	2357
364	6326	2339
365	6343	2322
366	6361	2305
367	6377	2287
368	6395	2270
369	6412	2252
370	6430	2235
371	6447	2218
372	6463	2200
373	6480	2183
374	6497	2165
375	6513	2148
376	6530	2130
377	6547	2113
378	6563	2095
379	6580	2078
380	6597	2060
381	6615	2043
382	6632	2026
383	6650	2008
384	6668	1992
385	6688	1975
386	6709	1959
387	6726	1941
388	6742	1923
389	6758	1906
390	6776	1889
391	6794	1872
392	6812	1854
393	6829	1837
394	6845	1819
395	6864	1802
396	6881	1785
397	6898	1768
398	6915	1750
399	6931	1732
400	6948	1715
401	6965	1698
402	6983	1680
403	7000	1663
404	7016	1645
405	7033	1628
406	7049	1610
407	7066	1593
408	7083	1576
409	7099	1558
410	7117	1541
411	7133	1523
412	7150	1506
413	7166	1488
414	7183	1471
415	7199	1453
416	7215	1436
417	7232	1418
418	7249	1401
419	7266	1384
420	7285	1367
421	7302	1349
422	7320	1332
423	7336	1315
424	7353	1297
425	7369	1280
426	7386	1262
427	7405	1245
428	7423	1228
429	7440	1211
430	7457	1193
431	7476	1176
432	7494	1159
433	7512	1142
434	7531	1125
435	7550	1108
436	7568	1091
437	7588	1074
438	7606	1056
439	7625	1039
440	7643	1022
441	7663	1005
442	7681	988
443	7698	971
444	7716	953
445	7733	936
446	7751	919
447	7768	901
448	7786	884
449	7803	867
450	7819	849
451	7836	832
452	7852	814
453	7868	797
454	7885	779
455	7901	762
456	7919	745
457	7936	727
458	7954	710
459	7970	693
460	7986	675
461	8003	658
462	8019	640
463	8036	623
464	8052	606
465	8070	588
466	8086	571
467	8104	554
468	8121	536
469	8137	519
470	8154	502
471	8171	484
472	8188	467
473	8205	450
474	8223	432
475	8241	415
476	8259	398
477	8277	380
478	8297	363
479	8315	346
480	8332	329
481	8350	311
482	8367	294
483	8385	277
484	8403	259
485	8425	242
486	8444	225
487	8462	208
488	8481	190
489	8498	173
490	8516	156
491	8533	138
492	8551	121
493	8568	104
494	8586	86
495	8604	69
496	8621	52
497	8637	34
498	8655	17
499	8672	0
