iter	Passed	Remaining
0	25	11247
1	47	10626
2	68	10200
3	89	9966
4	110	9818
5	126	9382
6	142	8988
7	157	8697
8	174	8551
9	192	8489
10	286	11452
11	319	11676
12	337	11339
13	353	10998
14	369	10703
15	386	10479
16	401	10225
17	416	10000
18	432	9819
19	448	9645
20	464	9494
21	479	9331
22	501	9302
23	517	9192
24	534	9079
25	549	8961
26	565	8852
27	581	8767
28	598	8682
29	614	8606
30	630	8519
31	646	8447
32	662	8367
33	677	8286
34	692	8216
35	708	8152
36	725	8097
37	740	8031
38	755	7959
39	770	7892
40	786	7848
41	802	7795
42	818	7743
43	837	7728
44	853	7679
45	868	7626
46	884	7581
47	899	7530
48	914	7482
49	931	7454
50	949	7431
51	968	7410
52	986	7388
53	1002	7354
54	1019	7321
55	1035	7284
56	1050	7240
57	1064	7197
58	1081	7164
59	1096	7124
60	1111	7089
61	1128	7063
62	1144	7030
63	1160	6997
64	1177	6972
65	1192	6937
66	1207	6902
67	1223	6873
68	1240	6851
69	1256	6821
70	1271	6787
71	1287	6758
72	1302	6728
73	1318	6698
74	1334	6672
75	1350	6647
76	1366	6620
77	1381	6590
78	1396	6558
79	1412	6532
80	1428	6507
81	1443	6475
82	1457	6446
83	1474	6424
84	1489	6397
85	1511	6397
86	1533	6400
87	1549	6373
88	1563	6342
89	1579	6317
90	1593	6287
91	1608	6257
92	1625	6238
93	1642	6220
94	1658	6198
95	1674	6174
96	1688	6143
97	1704	6122
98	1720	6101
99	1736	6076
100	1751	6051
101	1767	6029
102	1783	6009
103	1801	5994
104	1818	5976
105	1835	5957
106	1853	5942
107	1870	5922
108	1887	5905
109	1904	5887
110	1922	5872
111	1937	5845
112	1951	5818
113	1968	5801
114	1985	5783
115	2001	5763
116	2019	5747
117	2034	5724
118	2052	5708
119	2069	5692
120	2084	5667
121	2102	5651
122	2121	5640
123	2137	5618
124	2152	5596
125	2169	5577
126	2185	5558
127	2200	5535
128	2217	5519
129	2232	5496
130	2248	5474
131	2264	5455
132	2281	5437
133	2296	5415
134	2315	5402
135	2331	5383
136	2346	5361
137	2364	5345
138	2379	5324
139	2395	5304
140	2413	5288
141	2431	5273
142	2449	5258
143	2468	5245
144	2485	5227
145	2501	5208
146	2517	5189
147	2534	5171
148	2551	5154
149	2567	5135
150	2583	5116
151	2599	5097
152	2616	5079
153	2632	5060
154	2649	5042
155	2667	5026
156	2682	5007
157	2700	4991
158	2719	4977
159	2735	4957
160	2752	4941
161	2769	4922
162	2786	4906
163	2804	4890
164	2820	4871
165	2836	4852
166	2858	4843
167	2878	4831
168	2899	4820
169	2918	4806
170	2931	4783
171	2947	4764
172	2962	4743
173	2978	4724
174	2994	4706
175	3010	4687
176	3026	4668
177	3044	4651
178	3061	4634
179	3077	4615
180	3096	4602
181	3112	4583
182	3131	4568
183	3148	4551
184	3166	4535
185	3182	4517
186	3200	4501
187	3215	4481
188	3233	4464
189	3252	4450
190	3271	4436
191	3287	4417
192	3304	4399
193	3320	4382
194	3338	4365
195	3355	4349
196	3373	4332
197	3391	4316
198	3409	4300
199	3427	4284
200	3445	4267
201	3462	4251
202	3481	4235
203	3498	4219
204	3516	4202
205	3532	4184
206	3551	4168
207	3567	4150
208	3582	4131
209	3599	4114
210	3615	4095
211	3634	4080
212	3651	4062
213	3675	4053
214	3697	4040
215	3714	4023
216	3732	4007
217	3751	3992
218	3770	3977
219	3790	3963
220	3810	3948
221	3828	3931
222	3845	3914
223	3863	3897
224	3880	3880
225	3900	3866
226	3922	3852
227	3942	3839
228	3962	3824
229	3982	3809
230	4002	3795
231	4022	3779
232	4041	3763
233	4058	3746
234	4079	3732
235	4098	3716
236	4118	3701
237	4138	3686
238	4157	3670
239	4175	3653
240	4195	3638
241	4216	3623
242	4235	3607
243	4254	3592
244	4271	3574
245	4291	3559
246	4390	3608
247	4433	3611
248	4454	3595
249	4473	3578
250	4497	3565
251	4526	3556
252	4552	3545
253	4572	3528
254	4592	3512
255	4613	3496
256	4633	3479
257	4651	3461
258	4671	3445
259	4695	3431
260	4719	3417
261	4739	3400
262	4761	3385
263	4785	3371
264	4808	3356
265	4834	3344
266	4856	3328
267	4881	3315
268	4904	3300
269	4939	3292
270	4963	3278
271	4987	3263
272	5008	3247
273	5029	3230
274	5051	3214
275	5073	3198
276	5096	3182
277	5116	3165
278	5139	3149
279	5160	3133
280	5182	3117
281	5204	3100
282	5227	3084
283	5246	3066
284	5269	3050
285	5293	3035
286	5320	3021
287	5341	3004
288	5367	2990
289	5391	2974
290	5413	2957
291	5434	2940
292	5457	2924
293	5483	2909
294	5523	2901
295	5544	2884
296	5568	2868
297	5590	2851
298	5610	2833
299	5633	2816
300	5653	2798
301	5674	2780
302	5695	2763
303	5719	2746
304	5741	2729
305	5763	2712
306	5786	2695
307	5806	2677
308	5827	2659
309	5849	2641
310	5869	2623
311	5893	2606
312	5915	2589
313	5936	2571
314	5956	2552
315	5978	2535
316	5999	2516
317	6020	2498
318	6042	2481
319	6063	2463
320	6084	2445
321	6108	2428
322	6131	2410
323	6156	2394
324	6178	2376
325	6199	2358
326	6221	2340
327	6245	2323
328	6267	2305
329	6293	2288
330	6316	2270
331	6342	2254
332	6365	2236
333	6389	2218
334	6409	2200
335	6430	2181
336	6452	2163
337	6472	2144
338	6493	2126
339	6517	2108
340	6541	2090
341	6563	2072
342	6587	2054
343	6610	2036
344	6631	2018
345	6658	2001
346	6683	1983
347	6706	1965
348	6727	1946
349	6755	1930
350	6778	1911
351	6801	1893
352	6822	1874
353	6846	1856
354	6873	1839
355	6899	1821
356	6922	1803
357	6947	1785
358	6971	1767
359	6998	1749
360	7019	1730
361	7042	1711
362	7067	1693
363	7088	1674
364	7114	1656
365	7138	1638
366	7167	1620
367	7191	1602
368	7216	1584
369	7240	1565
370	7265	1547
371	7288	1528
372	7307	1508
373	7330	1489
374	7353	1470
375	7380	1452
376	7406	1434
377	7430	1415
378	7455	1396
379	7477	1377
380	7499	1358
381	7525	1339
382	7547	1320
383	7572	1301
384	7594	1282
385	7617	1263
386	7640	1243
387	7662	1224
388	7684	1205
389	7707	1185
390	7731	1166
391	7758	1147
392	7781	1128
393	7805	1109
394	7833	1090
395	7858	1071
396	7886	1052
397	7914	1034
398	7940	1014
399	7967	995
400	7995	977
401	8020	957
402	8045	938
403	8070	918
404	8095	899
405	8117	879
406	8145	860
407	8171	841
408	8198	821
409	8224	802
410	8253	783
411	8283	764
412	8307	744
413	8337	724
414	8363	705
415	8388	685
416	8413	665
417	8435	645
418	8460	625
419	8484	606
420	8513	586
421	8541	566
422	8569	546
423	8595	527
424	8619	507
425	8646	487
426	8677	467
427	8707	447
428	8747	428
429	8777	408
430	8804	388
431	8836	368
432	8862	347
433	8888	327
434	8911	307
435	8940	287
436	8964	266
437	8993	246
438	9019	226
439	9045	205
440	9077	185
441	9105	164
442	9130	144
443	9155	123
444	9177	103
445	9203	82
446	9230	61
447	9255	41
448	9283	20
449	9306	0
